"station_id","dt_placement","week","month","year","country_code","nuts0_code","nuts0_name","nuts1_code","nuts1_name","nuts2_code","nuts2_name","nuts3_code","nuts3_name","lau1_municipality","lau2_settlement","trap_type","sex","dt_placement_original","x","y","aedes albopictus","region","indices_image_date","indices_lat","indices_lon","ndvi","ndmi","ndwi","ndbi","ndvi_mean","ndmi_mean","ndwi_mean","ndbi_mean","ndvi_std","ndmi_std","ndwi_std","ndbi_std","lst_image_date","lst_lat","lst_lon","lst_day","lst_night","monthly_lst_lat","monthly_lst_lon","lst_jan_day_mean","lst_jan_night_mean","lst_feb_day_mean","lst_feb_night_mean","lst_mar_day_mean","lst_mar_night_mean","lst_apr_day_mean","lst_apr_night_mean","indices_image_date","indices_lat","indices_lon","acc_rainfall_jan","dt_placement_minus_7","dt_placement_minus_14","dt_placement_minus_7_avail","dt_placement_minus_14_avail","acc_rainfall_1week","acc_rainfall_2week"
288,2023-06-26,28,6,2023,,,"Italy",,,,"Trentino-Alto Adige",,"Trentino","Riva del Garda",,"BG-Sentinel","M",2023-07-11,10.844454,45.890818,20,"Italy",2023-06-22,45.8926820774601,10.8449112675339,0.312870776373485,0.0155626496408619,-0.310504634397528,-0.0155626496408619,0.332415004034624,0.0126225580729991,-0.326989996069926,-0.0126225580729991,0.0427912763308746,0.0283741179045617,0.0306939021004866,0.0283741179045617,2023-06-26,45.8926820774601,10.8449112675339,15392,14895,45.8926820774601,10.8449112675339,13964.3076923077,13699.4545454545,14094.7647058824,13749.5333333333,14371.6875,13912.5333333333,14474.8888888889,13992.8181818182,2023-06-26,45.8502097308228,10.8500496309581,147.248142188488,2023-06-19,2023-06-12,2023-06-19,2023-06-12,1.82828585617244,2.45934660243802
288,2023-06-26,28,6,2023,,,"Italy",,,,"Trentino-Alto Adige",,"Trentino","Riva del Garda",,"BG-Sentinel","F",2023-07-11,10.844454,45.890818,13,"Italy",2023-06-22,45.8926820774601,10.8449112675339,0.312870776373485,0.0155626496408619,-0.310504634397528,-0.0155626496408619,0.332415004034624,0.0126225580729991,-0.326989996069926,-0.0126225580729991,0.0427912763308746,0.0283741179045617,0.0306939021004866,0.0283741179045617,2023-06-26,45.8926820774601,10.8449112675339,15392,14895,45.8926820774601,10.8449112675339,13964.3076923077,13699.4545454545,14094.7647058824,13749.5333333333,14371.6875,13912.5333333333,14474.8888888889,13992.8181818182,2023-06-26,45.8502097308228,10.8500496309581,147.248142188488,2023-06-19,2023-06-12,2023-06-19,2023-06-12,1.82828585617244,2.45934660243802
315,2023-06-26,28,6,2023,,,"Italy",,,,"Trentino-Alto Adige",,"Trentino","Arco",,"BG-Sentinel","M",2023-07-11,10.864102,45.919723,14,"Italy",2023-06-22,45.9196315359837,10.8628775732163,0.461845386533666,0.0673707210487983,-0.422815533980583,-0.0673707210487983,0.523378086385228,0.124448715928214,-0.469170604689259,-0.124448715928214,0.0992188766476048,0.0752279780456825,0.0708275149383391,0.0752279780456825,2023-06-26,45.9196315359837,10.8628775732163,15374,14817,45.9196315359837,10.8628775732163,14027.0909090909,13679.3636363636,14184.9333333333,13783.5625,14486.1538461538,13933.6153846154,14564.4285714286,13985.1666666667,2023-06-26,45.950210188251,10.8500496309581,141.630678673384,2023-06-19,2023-06-12,2023-06-19,2023-06-12,1.46365332370624,1.58824957348406
315,2023-06-26,28,6,2023,,,"Italy",,,,"Trentino-Alto Adige",,"Trentino","Arco",,"BG-Sentinel","F",2023-07-11,10.864102,45.919723,17,"Italy",2023-06-22,45.9196315359837,10.8628775732163,0.461845386533666,0.0673707210487983,-0.422815533980583,-0.0673707210487983,0.523378086385228,0.124448715928214,-0.469170604689259,-0.124448715928214,0.0992188766476048,0.0752279780456825,0.0708275149383391,0.0752279780456825,2023-06-26,45.9196315359837,10.8628775732163,15374,14817,45.9196315359837,10.8628775732163,14027.0909090909,13679.3636363636,14184.9333333333,13783.5625,14486.1538461538,13933.6153846154,14564.4285714286,13985.1666666667,2023-06-26,45.950210188251,10.8500496309581,141.630678673384,2023-06-19,2023-06-12,2023-06-19,2023-06-12,1.46365332370624,1.58824957348406
351,2023-06-26,28,6,2023,,,"Italy",,,,"Trentino-Alto Adige",,"Trentino","Riva del Garda",,"BG-Sentinel","F",2023-07-11,10.855636,45.894986,43,"Italy",2023-06-22,45.8971736538807,10.8538944203751,0.303148581837106,0.00582446274352277,-0.304166666666667,-0.00582446274352277,0.462708978096187,0.0943419162912542,-0.416857809845376,-0.0943419162912542,0.131108485700347,0.072736165254975,0.0937443719789554,0.072736165254975,2023-06-26,45.8971736538807,10.8538944203751,15440,14815,45.8971736538807,10.8538944203751,13981.7142857143,13651.8181818182,14145.5,13660.875,14458.125,13892.625,14586.2777777778,13973.1666666667,2023-06-26,45.8502097308228,10.8500496309581,147.248142188488,2023-06-19,2023-06-12,2023-06-19,2023-06-12,1.82828585617244,2.45934660243802
351,2023-06-26,28,6,2023,,,"Italy",,,,"Trentino-Alto Adige",,"Trentino","Riva del Garda",,"BG-Sentinel","M",2023-07-11,10.855636,45.894986,3,"Italy",2023-06-22,45.8971736538807,10.8538944203751,0.303148581837106,0.00582446274352277,-0.304166666666667,-0.00582446274352277,0.462708978096187,0.0943419162912542,-0.416857809845376,-0.0943419162912542,0.131108485700347,0.072736165254975,0.0937443719789554,0.072736165254975,2023-06-26,45.8971736538807,10.8538944203751,15440,14815,45.8971736538807,10.8538944203751,13981.7142857143,13651.8181818182,14145.5,13660.875,14458.125,13892.625,14586.2777777778,13973.1666666667,2023-06-26,45.8502097308228,10.8500496309581,147.248142188488,2023-06-19,2023-06-12,2023-06-19,2023-06-12,1.82828585617244,2.45934660243802
"CDCRA5",2023-06-26,28,6,2023,,,"Italy",,,,"Trentino-Alto Adige",,"Trentino","Arco",,"CDC-trap","F",2023-07-11,10.892337,45.915607,7,"Italy",2023-06-22,45.915139959563,10.8943186081605,0.495517324933366,0.128542695191077,-0.444080486663547,-0.128542695191077,0.575005548590502,0.161927119232638,-0.497968739432784,-0.161927119232638,0.0896894574622327,0.058869349781612,0.0588101514693281,0.058869349781612,2023-06-26,45.915139959563,10.8943186081605,15512,14763,45.915139959563,10.8943186081605,13978.1666666667,13632.5,14144.5625,13694.5714285714,14524.6923076923,13903.6428571429,14632.6470588235,13970.6923076923,2023-06-26,45.950210188251,10.8500496309581,141.630678673384,2023-06-19,2023-06-12,2023-06-19,2023-06-12,1.46365332370624,1.58824957348406
"CDCRA6",2023-06-26,28,6,2023,,,"Italy",,,,"Trentino-Alto Adige",,"Trentino","Riva del Garda",,"CDC-trap","M",2023-07-11,10.862481,45.882249,1,"Italy",2023-06-22,45.8836989246189,10.8628775732163,0.509443339960239,0.130467150567653,-0.459745253544821,-0.130467150567653,0.560249477746199,0.190523500606513,-0.483350331493758,-0.190523500606513,0.0978011629411594,0.0868570271866863,0.0672053885441875,0.0868570271866863,2023-06-26,45.8836989246189,10.8628775732163,15357,14714,45.8836989246189,10.8628775732163,13959.0769230769,13639.8571428571,14098.7647058824,13708.8,14387.2,13873.3333333333,14480.85,13983.4615384615,2023-06-26,45.8502097308228,10.8500496309581,147.248142188488,2023-06-19,2023-06-12,2023-06-19,2023-06-12,1.82828585617244,2.45934660243802
"CDCRA6",2023-06-26,28,6,2023,,,"Italy",,,,"Trentino-Alto Adige",,"Trentino","Riva del Garda",,"CDC-trap","F",2023-07-11,10.862481,45.882249,6,"Italy",2023-06-22,45.8836989246189,10.8628775732163,0.509443339960239,0.130467150567653,-0.459745253544821,-0.130467150567653,0.560249477746199,0.190523500606513,-0.483350331493758,-0.190523500606513,0.0978011629411594,0.0868570271866863,0.0672053885441875,0.0868570271866863,2023-06-26,45.8836989246189,10.8628775732163,15357,14714,45.8836989246189,10.8628775732163,13959.0769230769,13639.8571428571,14098.7647058824,13708.8,14387.2,13873.3333333333,14480.85,13983.4615384615,2023-06-26,45.8502097308228,10.8500496309581,147.248142188488,2023-06-19,2023-06-12,2023-06-19,2023-06-12,1.82828585617244,2.45934660243802
"PO-BG-3",2023-06-26,28,6,2023,,,"Italy",,,,"Trentino-Alto Adige",,"Trentino","Trento",,"BG-Sentinel","M",2023-07-11,11.160635,46.083488,3,"Italy",2023-06-22,46.0813282871252,11.1593216169757,0.572482742204237,0.196305686345527,-0.509597806215722,-0.196305686345527,0.58419544148997,0.189332327643606,-0.514093073120408,-0.189332327643606,0.0762377069018793,0.0692858372302702,0.0480573273442625,0.0692858372302702,2023-06-26,46.0813282871252,11.1593216169757,15467,14732,46.0813282871252,11.1593216169757,13864.7,13597.4,14128.3529411765,13689.7647058824,14459.4615384615,13841.5,14602.1764705882,13926.75,2023-06-26,46.0502106456792,11.1500510032426,174.992357122625,2023-06-19,2023-06-12,2023-06-19,2023-06-12,2.74825888127089,3.28422546767979
"PO-BG-3",2023-06-26,28,6,2023,,,"Italy",,,,"Trentino-Alto Adige",,"Trentino","Trento",,"BG-Sentinel","F",2023-07-11,11.160635,46.083488,18,"Italy",2023-06-22,46.0813282871252,11.1593216169757,0.572482742204237,0.196305686345527,-0.509597806215722,-0.196305686345527,0.58419544148997,0.189332327643606,-0.514093073120408,-0.189332327643606,0.0762377069018793,0.0692858372302702,0.0480573273442625,0.0692858372302702,2023-06-26,46.0813282871252,11.1593216169757,15467,14732,46.0813282871252,11.1593216169757,13864.7,13597.4,14128.3529411765,13689.7647058824,14459.4615384615,13841.5,14602.1764705882,13926.75,2023-06-26,46.0502106456792,11.1500510032426,174.992357122625,2023-06-19,2023-06-12,2023-06-19,2023-06-12,2.74825888127089,3.28422546767979
"RA-CDC-1",2023-06-26,28,6,2023,,,"Italy",,,,"Trentino-Alto Adige",,"Trentino","Arco",,"CDC-trap","M",2023-07-11,10.891121,45.905765,3,"Italy",2023-06-22,45.9061568067219,10.8898270317399,0.558876811594203,0.145996337606126,-0.491657638136511,-0.145996337606126,0.628159431526432,0.196797032210804,-0.5346609270693,-0.196797032210804,0.0370044590293305,0.0367942580707154,0.0242839415069682,0.0367942580707154,2023-06-26,45.9061568067219,10.8898270317399,15429,14690,45.9061568067219,10.8898270317399,13949.5333333333,13627.6,14124.5,13660.2857142857,14472.0714285714,13864.1538461538,14602.3888888889,13919.6923076923,2023-06-26,45.950210188251,10.8500496309581,141.630678673384,2023-06-19,2023-06-12,2023-06-19,2023-06-12,1.46365332370624,1.58824957348406
"RA-CDC-1",2023-06-26,28,6,2023,,,"Italy",,,,"Trentino-Alto Adige",,"Trentino","Arco",,"CDC-trap","F",2023-07-11,10.891121,45.905765,5,"Italy",2023-06-22,45.9061568067219,10.8898270317399,0.558876811594203,0.145996337606126,-0.491657638136511,-0.145996337606126,0.628159431526432,0.196797032210804,-0.5346609270693,-0.196797032210804,0.0370044590293305,0.0367942580707154,0.0242839415069682,0.0367942580707154,2023-06-26,45.9061568067219,10.8898270317399,15429,14690,45.9061568067219,10.8898270317399,13949.5333333333,13627.6,14124.5,13660.2857142857,14472.0714285714,13864.1538461538,14602.3888888889,13919.6923076923,2023-06-26,45.950210188251,10.8500496309581,141.630678673384,2023-06-19,2023-06-12,2023-06-19,2023-06-12,1.46365332370624,1.58824957348406
"ST-BG-3",2023-06-26,28,6,2023,,,"Italy",,,,"Trentino-Alto Adige",,"Trentino","Castel Ivano",,"BG-Sentinel","M",2023-07-11,11.525146,46.066722,7,"Italy",2023-06-22,46.0678535578634,11.5231393070442,0.615384615384615,0.227752081406106,-0.533271719038817,-0.227752081406106,0.383484049841224,0.275352680232784,-0.32422504285035,-0.275352680232784,0.00825636313812719,0.00323810567507526,0.0115620466173738,0.00323810567507526,2023-06-26,46.0678535578634,11.5231393070442,15211,14649,46.0678535578634,11.5231393070442,13877.625,13517.4,14084.4117647059,13627,14396.5454545455,13829.8888888889,14612.3636363636,13900.2727272727,2023-06-26,46.0502106456792,11.5500528329554,193.898938491941,2023-06-19,2023-06-12,2023-06-19,2023-06-12,8.57332349556964,17.8943432486849
