id,station_id,trapid_region,trapid,unique_code,oldid,x,y,dt_placement,week,month,year,country_code,nuts0_code,nuts0_name,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,lau1_municipality,lau2_settlement,trap_type,lab,??????? ??????? pools,culex pipiens,sp_cnt_1km,biol_cnt_1km,wc_l_1km,pg_area_1km,fs_area_1km,wc_mean_dist_1000,coast_mean_dist_1000,dem_mean_1km,slope_mean_1km,aspect_mean_1km,waw_mean_1km,flow_accu_1km,culex spp.,region,dt_placement_original,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week
464.0,XERTR02,XERTR02_CR,XERTR02_EL43,XERTR02_CR11,GIOTR0200,25.109379,35.335973,2024-02-25,11.0,2,2024,EL,0.0,Greece,EL4,"AEGEAN ISLANDS, CRETE",EL43,CRETE,EL431,HERAKLION,HERAKLION,XEROPOTAMOS,Ecodev,,,,,,,,,,,,,,,,,Greece,2024-03-11,2024-02-24,35.337477489054756,25.110157979353122,0.10006293266205156,0.04202682563338301,-0.09045539613225202,-0.04202682563338301,0.012881660843314288,0.1581919699835059,0.05987667867023789,-0.1581919699835059,0.17536764936458873,0.20940818607807188,0.3203034035064217,0.20940818607807188,2024-02-25,35.337477489054756,25.110157979353122,14544.0,14236.0,35.337477489054756,25.110157979353122,14417.53846153846,14021.454545454546,14443.0,14152.384615384617,14609.739130434782,14242.15,14842.95,14459.05882352941,2024-02-25,35.350161700863396,25.150115043188528,314.9134528962203,2024-02-18,2024-02-11,2024-02-18,2024-02-11,27.546748843044043,98.55194149096496
459.0,SKATR02,SKATR02_CR,SKATR02_EL43,SKATR02_CR11,GAZTR0100,25.065026,35.334606,2024-02-25,11.0,2,2024,EL,0.0,Greece,EL4,"AEGEAN ISLANDS, CRETE",EL43,CRETE,EL431,HERAKLION,MALEVIZI,SKAFIDARAS,Ecodev,,,,,,,,,,,,,,,,,Greece,2024-03-11,2024-02-24,35.332985912634165,25.065242215147137,0.4935129740518962,0.24268216732406064,-0.4413676860101132,-0.24268216732406064,0.4941054254635423,0.24473896670040785,-0.4339770647575363,-0.24473896670040785,0.11574564260648,0.07736210481324929,0.08362365139065807,0.07736210481324929,2024-02-25,35.33298591263416,25.065242215147137,14624.0,14162.0,35.33298591263416,25.065242215147137,14402.071428571431,14006.25,14481.5625,14046.0625,14598.285714285714,14172.761904761905,14936.157894736842,14367.1875,2024-02-25,35.350161700863396,25.050114585760344,331.5705070097012,2024-02-18,2024-02-11,2024-02-18,2024-02-11,57.58683508762141,130.6147943838684
581.0,IRATR06,IRATR06_CR,IRATR06_EL43,IRATR06_CR11,0,25.142963,35.342807,2024-02-25,11.0,2,2024,EL,0.0,Greece,EL4,"AEGEAN ISLANDS, CRETE",EL43,CRETE,EL431,HERAKLION,HERAKLION,IRAKLEIO,Ecodev,,,,,,,,,,,,,,,,,Greece,2024-03-11,2024-02-24,35.34196906547536,25.141599014297306,0.07959384212250241,0.03517587939698488,-0.08136482939632543,-0.03517587939698488,-0.019532082782377502,0.1403466161112038,0.09243347840209404,-0.1403466161112038,0.16242678277773873,0.19590259034433585,0.30686973873340545,0.19590259034433585,2024-02-25,35.34196906547535,25.141599014297306,,,35.34196906547535,25.141599014297306,,,,,,,,,2024-02-25,35.350161700863396,25.150115043188528,314.9134528962203,2024-02-18,2024-02-11,2024-02-18,2024-02-11,27.546748843044043,98.55194149096496
731.0,NALTR01,NALTR01_CR,NALTR01_EL43,NALTR01_CR11,0,25.172439,35.335647,2024-02-25,11.0,2,2024,EL,0.0,Greece,EL4,"AEGEAN ISLANDS, CRETE",EL43,CRETE,EL431,HERAKLION,HERAKLION,NEA ALIKARNASSOS,Ecodev,,,,,,,,,,,,,,,,,Greece,2024-03-11,2024-02-24,35.337477489054756,25.17304004924149,0.12951372171401054,0.06684856753069572,-0.15566502463054188,-0.06684856753069572,0.3805080356862368,0.16083802898025035,-0.3450923971901261,-0.16083802898025035,0.12455537381342728,0.05299469469445086,0.08994566419110085,0.05299469469445086,2024-02-25,35.337477489054756,25.17304004924149,14605.0,14175.0,35.337477489054756,25.17304004924149,14395.333333333336,13897.0,14435.4,14044.2,14620.615384615383,14180.095238095239,14918.315789473683,14374.466666666667,2024-02-25,35.350161700863396,25.150115043188528,314.9134528962203,2024-02-18,2024-02-11,2024-02-18,2024-02-11,27.546748843044043,98.55194149096496
517.0,SYDTR01,SYDTR01_CR,SYDTR01_EL43,SYDTR01_CR11,SUDTR0100,24.061167,35.491639,2024-02-25,11.0,2,2024,EL,0.0,Greece,EL4,"AEGEAN ISLANDS, CRETE",EL43,CRETE,EL434,CHANIA,CHANIA,SOYDA,Ecodev,,,2.0,,,,,,,,,,,,,2.0,Greece,2024-03-11,2024-02-24,35.49019108735509,24.059129096933184,0.3996692392502757,0.14112359550561795,-0.3724324324324325,-0.14112359550561795,0.3192719854286919,0.19974061981181152,-0.2602505785946008,-0.19974061981181152,0.2737346693650913,0.12103736856264828,0.3290294721164497,0.12103736856264828,2024-02-25,35.49019108735509,24.059129096933184,14612.0,14153.0,35.49019108735509,24.059129096933184,14407.727272727272,14185.363636363636,14477.928571428569,14110.615384615383,14644.0,14185.238095238095,14947.809523809525,14338.411764705883,2024-02-25,35.450162158291576,24.050110011478495,248.73567116676776,2024-02-18,2024-02-11,2024-02-18,2024-02-11,42.52426836453378,60.54389975429143
519.0,CHATR02,CHATR02_CR,CHATR02_EL43,CHATR02_CR11,XANTR0200,24.002389,35.50825,2024-02-25,11.0,2,2024,EL,0.0,Greece,EL4,"AEGEAN ISLANDS, CRETE",EL43,CRETE,EL434,CHANIA,CHANIA,CHANIA,Ecodev,,,,,,,,,,,,,,,,,Greece,2024-03-11,2024-02-24,35.50815739303749,24.000738603465408,0.3931357254290171,0.16503587736464453,-0.3787956767884714,-0.16503587736464453,0.32178924420936794,0.13355413516169234,-0.2926880743527771,-0.13355413516169234,0.14548172035510246,0.08397656598708017,0.14617935782177527,0.08397656598708017,2024-02-25,35.50815739303748,24.000738603465408,14606.0,14198.0,35.50815739303748,24.000738603465408,14432.363636363636,14200.454545454546,14485.571428571431,14117.333333333336,14629.666666666664,14207.333333333336,14936.947368421052,14392.411764705883,2024-02-25,35.55016261571976,24.050110011478495,334.47571234804104,2024-02-18,2024-02-11,2024-02-18,2024-02-11,34.48217660142109,46.3260149892717
730.0,MUZTR01,MUZTR01_CR,MUZTR01_EL43,MUZTR01_CR11,0,24.139737,35.541209,2024-02-25,11.0,2,2024,EL,0.0,Greece,EL4,"AEGEAN ISLANDS, CRETE",EL43,CRETE,EL434,CHANIA,CHANIA,MOYZOYRAS,Ecodev,,,,,,,,,,,,,,,,,Greece,2024-03-11,2024-02-24,35.53959842798167,24.139977472503947,0.12171628721541165,0.016868426275054645,-0.1537941904976357,-0.016868426275054645,0.31798326987737635,0.08598578026223462,-0.30891384458675153,-0.08598578026223462,0.1781196280362794,0.13455667450427247,0.12990642015788362,0.13455667450427247,2024-02-25,35.539598427981666,24.139977472503947,14639.0,14181.0,35.539598427981666,24.139977472503947,14443.666666666664,14158.7,14471.916666666664,14072.153846153846,14687.94117647059,14174.357142857143,15060.5625,14345.5,2024-02-25,35.55016261571976,24.15011046890668,307.78493605894846,2024-02-18,2024-02-11,2024-02-18,2024-02-11,44.108656441792846,55.5605033281463
729.0,MNSTR01,MNSTR01_CR,MNSTR01_EL43,MNSTR01_CR11,0,24.017231,35.478462,2024-02-25,11.0,2,2024,EL,0.0,Greece,EL4,"AEGEAN ISLANDS, CRETE",EL43,CRETE,EL434,CHANIA,CHANIA,MOYRNIES,Ecodev,,,,,,,,,,,,,,,,,Greece,2024-03-11,2024-02-24,35.47671635809329,24.01870490914781,0.5280995280995282,0.2631205673758865,-0.40568271507498027,-0.2631205673758865,0.4659073375596271,0.1704466248165732,-0.3840731450716585,-0.1704466248165732,0.07609407494025577,0.09612290459277326,0.0748992902082893,0.09612290459277326,2024-02-25,35.47671635809329,24.01870490914781,14587.0,14155.0,35.47671635809329,24.018704909147807,14357.4,14136.222222222224,14458.090909090908,14072.25,14619.590909090908,14187.882352941177,14978.3,14341.235294117649,2024-02-25,35.450162158291576,24.050110011478495,248.73567116676776,2024-02-18,2024-02-11,2024-02-18,2024-02-11,42.52426836453378,60.54389975429143
458.0,VICTR01,VICTR01_CR,VICTR01_EL43,VICTR01_CR11,BIOTR0100,24.442917,35.362667,2024-02-25,11.0,2,2024,EL,0.0,Greece,EL4,"AEGEAN ISLANDS, CRETE",EL43,CRETE,EL433,RETHYMNO,RETHYMNO,VIOLI CHARAKI,Ecodev,,,,,,,,,,,,,,,,,Greece,2024-03-11,2024-02-24,35.36442694757835,24.44091309268401,0.3609531546168427,0.17981220657276994,-0.34241452991453,-0.17981220657276994,0.29584438460719165,0.13690856060366965,-0.2432100308958599,-0.13690856060366965,0.14128558412557662,0.06268124342607803,0.17251381501197952,0.06268124342607803,2024-02-25,35.364426947578345,24.44091309268401,14563.0,14262.0,35.364426947578345,24.44091309268401,14334.5,14172.46153846154,14351.0,14141.0,14576.684210526317,14208.545454545454,14813.210526315792,14377.294117647061,2024-02-25,35.350161700863396,24.450111841191234,339.110862803268,2024-02-18,2024-02-11,2024-02-18,2024-02-11,44.670282284147106,49.74508265161421
727.0,PVLTR03,PVLTR03_CR,PVLTR03_EL43,PVLTR03_CR11,0,24.514665,35.368135,2024-02-25,11.0,2,2024,EL,0.0,Greece,EL4,"AEGEAN ISLANDS, CRETE",EL43,CRETE,EL433,RETHYMNO,RETHYMNO,PERIVOLIA,Ecodev,,,,,,,,,,,,,,,,,Greece,2024-03-11,2024-02-24,35.36891852399895,24.512778315413584,0.3041842971321109,0.10915633746501407,-0.3171889838556506,-0.10915633746501407,0.0908801632934319,0.2474497796617987,0.01895393581774316,-0.2474497796617987,0.26298969499499675,0.21315034907595987,0.4232223244553359,0.21315034907595987,2024-02-25,35.368918523998936,24.512778315413584,,,35.368918523998936,24.512778315413584,,,,,,,,,2024-02-25,35.350161700863396,24.550112298619418,323.32766055487036,2024-02-18,2024-02-11,2024-02-18,2024-02-11,46.31928925123066,51.64330524764955
