station_id,dt_placement,week,month,year,country_code,nuts0_code,nuts0_name,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,lau1_municipality,lau2_settlement,trap_type,aedes albopictus,sex,x,y,region,dt_placement_original,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week
288,2024-07-22,32,7,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,BG-Sentinel,50,F,10.844454,45.890818,Italy,2024-08-06,2024-07-18,45.89268207746006,10.84491126753387,0.3523166723923101,0.08976835731263948,-0.2637670566935469,-0.08976835731263948,0.3686374453078921,0.077593537347521,-0.2881151584774815,-0.077593537347521,0.07153496876598986,0.049185796631023904,0.028407529114815925,0.049185796631023904,2024-07-22,45.89268207746006,10.84491126753387,15456.0,14810.0,45.89268207746006,10.84491126753387,13931.529411764706,13586.333333333336,14177.4,13736.8,14344.444444444443,13958.166666666664,14576.916666666664,14084.533333333333,2024-06-02,45.850209730822826,10.850049630958074,212.48075984493698,2024-07-15,2024-07-08,2024-06-02,2024-06-02,0.0,0.0
288,2024-07-22,32,7,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,BG-Sentinel,32,F,10.844454,45.890818,Italy,2024-08-06,2024-07-18,45.89268207746006,10.84491126753387,0.3523166723923101,0.08976835731263948,-0.2637670566935469,-0.08976835731263948,0.3686374453078921,0.077593537347521,-0.2881151584774815,-0.077593537347521,0.07153496876598986,0.049185796631023904,0.028407529114815925,0.049185796631023904,2024-07-22,45.89268207746006,10.84491126753387,15456.0,14810.0,45.89268207746006,10.84491126753387,13931.529411764706,13586.333333333336,14177.4,13736.8,14344.444444444443,13958.166666666664,14576.916666666664,14084.533333333333,2024-06-02,45.850209730822826,10.850049630958074,212.48075984493698,2024-07-15,2024-07-08,2024-06-02,2024-06-02,0.0,0.0
288,2024-07-22,32,7,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,BG-Sentinel,47,M,10.844454,45.890818,Italy,2024-08-06,2024-07-18,45.89268207746006,10.84491126753387,0.3523166723923101,0.08976835731263948,-0.2637670566935469,-0.08976835731263948,0.3686374453078921,0.077593537347521,-0.2881151584774815,-0.077593537347521,0.07153496876598986,0.049185796631023904,0.028407529114815925,0.049185796631023904,2024-07-22,45.89268207746006,10.84491126753387,15456.0,14810.0,45.89268207746006,10.84491126753387,13931.529411764706,13586.333333333336,14177.4,13736.8,14344.444444444443,13958.166666666664,14576.916666666664,14084.533333333333,2024-06-02,45.850209730822826,10.850049630958074,212.48075984493698,2024-07-15,2024-07-08,2024-06-02,2024-06-02,0.0,0.0
315,2024-07-22,32,7,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Arco,,BG-Sentinel,50,F,10.864102,45.919723,Italy,2024-08-06,2024-07-18,45.91963153598365,10.862877573216265,0.5102950887475237,0.16521945031221835,-0.3229754771904396,-0.16521945031221835,0.5333914724912016,0.21019161585864266,-0.31001309544921,-0.21019161585864266,0.15805812983586748,0.12344911125526442,0.036995923587357586,0.12344911125526442,2024-07-22,45.91963153598365,10.86287757321626,15201.0,14823.0,45.91963153598365,10.86287757321626,13989.733333333335,13639.25,14228.909090909092,13863.75,14445.2,13895.583333333336,14698.5,14084.4,2024-06-02,45.950210188251006,10.850049630958074,215.0308148009439,2024-07-15,2024-07-08,2024-06-02,2024-06-02,0.0,0.0
315,2024-07-22,32,7,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Arco,,BG-Sentinel,14,F,10.864102,45.919723,Italy,2024-08-06,2024-07-18,45.91963153598365,10.862877573216265,0.5102950887475237,0.16521945031221835,-0.3229754771904396,-0.16521945031221835,0.5333914724912016,0.21019161585864266,-0.31001309544921,-0.21019161585864266,0.15805812983586748,0.12344911125526442,0.036995923587357586,0.12344911125526442,2024-07-22,45.91963153598365,10.86287757321626,15201.0,14823.0,45.91963153598365,10.86287757321626,13989.733333333335,13639.25,14228.909090909092,13863.75,14445.2,13895.583333333336,14698.5,14084.4,2024-06-02,45.950210188251006,10.850049630958074,215.0308148009439,2024-07-15,2024-07-08,2024-06-02,2024-06-02,0.0,0.0
315,2024-07-22,32,7,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Arco,,BG-Sentinel,35,M,10.864102,45.919723,Italy,2024-08-06,2024-07-18,45.91963153598365,10.862877573216265,0.5102950887475237,0.16521945031221835,-0.3229754771904396,-0.16521945031221835,0.5333914724912016,0.21019161585864266,-0.31001309544921,-0.21019161585864266,0.15805812983586748,0.12344911125526442,0.036995923587357586,0.12344911125526442,2024-07-22,45.91963153598365,10.86287757321626,15201.0,14823.0,45.91963153598365,10.86287757321626,13989.733333333335,13639.25,14228.909090909092,13863.75,14445.2,13895.583333333336,14698.5,14084.4,2024-06-02,45.950210188251006,10.850049630958074,215.0308148009439,2024-07-15,2024-07-08,2024-06-02,2024-06-02,0.0,0.0
351,2024-07-22,32,7,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,BG-Sentinel,50,F,10.855636,45.894986,Italy,2024-08-06,2024-07-18,45.89717365388066,10.853894420375068,0.2928124009012568,0.04537063709891806,-0.26105693097342714,-0.04537063709891806,0.5036100933519169,0.1849299697487644,-0.3022433995049935,-0.1849299697487644,0.13688389538369844,0.09845434201904776,0.029343725181883818,0.09845434201904776,2024-07-22,45.89717365388066,10.853894420375068,15442.0,14814.0,45.89717365388066,10.853894420375068,13923.263157894737,13552.619047619048,14182.6,13691.4,14418.3,13918.692307692307,14629.583333333336,14055.857142857143,2024-06-02,45.850209730822826,10.850049630958074,212.48075984493698,2024-07-15,2024-07-08,2024-06-02,2024-06-02,0.0,0.0
351,2024-07-22,32,7,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,BG-Sentinel,11,F,10.855636,45.894986,Italy,2024-08-06,2024-07-18,45.89717365388066,10.853894420375068,0.2928124009012568,0.04537063709891806,-0.26105693097342714,-0.04537063709891806,0.5036100933519169,0.1849299697487644,-0.3022433995049935,-0.1849299697487644,0.13688389538369844,0.09845434201904776,0.029343725181883818,0.09845434201904776,2024-07-22,45.89717365388066,10.853894420375068,15442.0,14814.0,45.89717365388066,10.853894420375068,13923.263157894737,13552.619047619048,14182.6,13691.4,14418.3,13918.692307692307,14629.583333333336,14055.857142857143,2024-06-02,45.850209730822826,10.850049630958074,212.48075984493698,2024-07-15,2024-07-08,2024-06-02,2024-06-02,0.0,0.0
351,2024-07-22,32,7,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,BG-Sentinel,54,M,10.855636,45.894986,Italy,2024-08-06,2024-07-18,45.89717365388066,10.853894420375068,0.2928124009012568,0.04537063709891806,-0.26105693097342714,-0.04537063709891806,0.5036100933519169,0.1849299697487644,-0.3022433995049935,-0.1849299697487644,0.13688389538369844,0.09845434201904776,0.029343725181883818,0.09845434201904776,2024-07-22,45.89717365388066,10.853894420375068,15442.0,14814.0,45.89717365388066,10.853894420375068,13923.263157894737,13552.619047619048,14182.6,13691.4,14418.3,13918.692307692307,14629.583333333336,14055.857142857143,2024-06-02,45.850209730822826,10.850049630958074,212.48075984493698,2024-07-15,2024-07-08,2024-06-02,2024-06-02,0.0,0.0
CDCRA5,2024-07-22,32,7,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Arco,,CDC-trap,15,F,10.892337,45.915607,Italy,2024-08-06,2024-07-18,45.915139959563035,10.894318608160448,0.5847663276512591,0.2575854803576633,-0.3000210940991066,-0.2575854803576633,0.5809743742458554,0.2418713461811189,-0.31554685828530904,-0.2418713461811189,0.119235651855416,0.10083789250969136,0.011287360180751441,0.10083789250969136,2024-07-22,45.915139959563035,10.894318608160448,15350.0,14718.0,45.91513995956304,10.894318608160448,13909.764705882351,13551.3,14179.727272727272,13802.2,14458.555555555557,13899.153846153846,14758.666666666664,14130.25,2024-06-02,45.950210188251006,10.850049630958074,215.0308148009439,2024-07-15,2024-07-08,2024-06-02,2024-06-02,0.0,0.0
