station_id,x,y,dt_placement,week,month,year,country_code,nuts0_code,nuts0_name,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,lau1_municipality,lau2_settlement,trap_type,anopheles zacharovi,anopheles maculipenis,anopheles_total,region,dt_placement_original,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date.1,indices_lat.1,indices_lon.1,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week,anopheles maculipennis s.l.,anopheles claviger s.l.,anopheles plumbeus,anopheles hyrcanus s.l.,dt_placement_original(+15_days)
184,11.585081,45.519406,2010-04-18,18.0,4,2010,IT,0.0,Italia,1,Nord-Est,2,Veneto,3,Vicenza,Vicenza,,CDC-CO2,,,253.0,Italy,2010-05-03,2010-04-13,45.5198812345504,11.5860213769325,0.407031276101881,0.0545324397251133,-0.322616296465624,-0.0545324397251133,0.496532943406686,0.396611346833994,-0.063525067661084,-0.396611346833994,0.0,0.0,0.0,0.0,2010-04-18,45.5198812345504,11.5860213769325,14790.0,14044.0,45.5198812345504,11.5860213769325,13919.7142857143,13505.25,13986.0,13666.2857142857,14295.0,13770.2,14849.5,14117.0,2010-04-18,45.5502083585383,11.5500528329554,545.065899224253,2010-04-11,2010-04-04,2010-04-11,2010-04-04,16.8864823065233,47.9999116405379,,,,,
186,11.535037,45.737123,2010-04-18,18.0,4,2010,IT,0.0,Italia,1,Nord-Est,2,Veneto,3,Vicenza,Zugliano,,CDC-CO2,,,3.0,Italy,2010-05-03,2010-04-13,45.7354769027391,11.536614036306,0.499401055283232,0.174532332419623,-0.288737776617895,-0.174532332419623,0.442480931368422,0.344457647021846,-0.0483075939049432,-0.344457647021846,0.0068264163478792,0.0047411386731548,0.0009501476799165,0.0047411386731548,2010-04-18,45.7354769027391,11.536614036306,14643.0,13987.0,45.7354769027391,11.536614036306,13844.5,13473.6,14106.7142857143,13627.8888888889,14442.5555555556,13781.6666666667,14745.5882352941,14010.6428571429,2010-04-18,45.7502092733946,11.5500528329554,472.554975692678,2010-04-11,2010-04-04,2010-04-11,2010-04-04,16.1991282729432,22.2163681862876,,,,,
187,11.418664,45.631146,2010-04-18,18.0,4,2010,IT,0.0,Italia,1,Nord-Est,2,Veneto,3,Vicenza,Malo,,CDC-CO2,,,2.0,Italy,2010-05-03,2010-04-13,45.6321706450654,11.4198330493704,0.377650234911149,0.212412336298985,-0.139798573938033,-0.212412336298985,0.363808837642249,0.234298501716447,-0.112143642246828,-0.234298501716447,0.0755382161347572,0.0785308081536328,0.026811891722158,0.0785308081536328,2010-04-18,45.6321706450654,11.4198330493704,14648.0,14034.0,45.6321706450654,11.4198330493704,13862.25,13469.1111111111,14059.0,13573.7272727273,14276.3333333333,13779.9333333333,14760.0,14053.2857142857,2010-04-18,45.6502088159665,11.4500523755272,528.202803185384,2010-04-11,2010-04-04,2010-04-11,2010-04-04,34.880679402966,56.465989700635,,,,,
188,11.373315,45.555083,2010-04-18,18.0,4,2010,IT,0.0,Italia,1,Nord-Est,2,Veneto,3,Vicenza,Trissino,,CDC-CO2,,,28.0,Italy,2010-05-03,2010-04-13,45.5558138459152,11.3749172851644,0.295883152178146,0.244823122205932,-0.0448751130353609,-0.244823122205932,0.332717927268272,0.28917937322597,-0.0205726514564964,-0.28917937322597,0.0499246344818583,0.0579364209828957,0.0266246350257567,0.0579364209828957,2010-04-18,45.5558138459152,11.3749172851644,14510.0,14027.0,45.5558138459152,11.3749172851644,13927.1111111111,13458.2222222222,14094.5714285714,13599.7,14331.8333333333,13763.375,14776.4666666667,14058.8125,2010-04-18,45.5502083585383,11.350051918099,571.903607222368,2010-04-11,2010-04-04,2010-04-11,2010-04-04,59.4803868266754,80.9509219477186,,,,,
9,12.049586,44.986146,2010-04-25,19.0,4,2010,IT,0.0,Italia,1,Nord-Est,2,Veneto,3,Rovigo,Papozze,,CDC-CO2,,,268.0,Italy,2010-05-10,2010-04-13,44.9853836404993,12.0486537482541,0.413437474178118,0.126485891429546,-0.265423602162674,-0.126485891429546,0.196944754824185,0.218374113796039,0.024680976588958,-0.218374113796039,0.248064228860154,0.205479471083021,0.389255592893724,0.205479471083021,2010-04-25,44.9853836404993,12.0486537482541,14776.0,14263.0,44.9853836404993,12.0486537482541,13831.0,13584.2,13970.7777777778,13643.6666666667,14394.0,13806.2727272727,14726.7368421053,14075.5555555556,2010-04-25,44.9502056139692,12.0500551200963,708.438290765058,2010-04-18,2010-04-11,2010-04-18,2010-04-11,33.1055380608886,73.5997692921519,,,,,
174,12.026987,45.883835,2010-04-25,19.0,4,2010,IT,0.0,Italia,1,Nord-Est,2,Veneto,3,Treviso,Valdobbiadene,,CDC-CO2,,,3.0,Italy,2010-05-10,2010-04-13,45.8836989246189,12.0261958661511,0.449537221432864,0.172527396800705,-0.251666205702317,-0.172527396800705,0.474387072324781,0.186025566988003,-0.257673802831139,-0.186025566988003,0.038690179748319,0.0311475699536902,0.0288335208075481,0.0311475699536902,2010-04-25,45.8836989246189,12.0261958661511,14985.0,14079.0,45.8836989246189,12.0261958661511,13895.9090909091,13430.6666666667,13998.5555555556,13534.3333333333,14288.8461538462,13666.6153846154,14842.7692307692,14012.6153846154,2010-04-25,45.8502097308228,12.0500551200963,581.879778444127,2010-04-18,2010-04-11,2010-04-18,2010-04-11,26.2655302045168,42.2107133568497,,,,,
193,11.002498,45.234771,2010-04-25,19.0,4,2010,IT,0.0,Italia,1,Nord-Est,2,Veneto,3,Verona,Erbe,,CDC-CO2,,,31.0,Italy,2010-05-10,2010-04-13,45.2369119200528,11.0021164422548,0.340645227462166,0.0846684577184289,-0.245540403955385,-0.0846684577184289,0.355449355010247,0.0854635778438107,-0.284111601071704,-0.0854635778438107,0.0850538095006238,0.0762120155890524,0.0399411508819307,0.0762120155890524,2010-04-25,45.2369119200528,11.0021164422548,15089.0,14289.0,45.2369119200528,11.0021164422548,13933.5,13499.0,14046.2,13632.5833333333,14330.4615384615,13780.4444444444,14943.875,14104.4444444444,2010-04-25,45.2502069862537,11.0500505458144,547.741582292481,2010-04-18,2010-04-11,2010-04-18,2010-04-11,39.7164182588458,64.8911361931823,,,,,
167,11.117869,45.314329,2010-05-02,20.0,5,2010,IT,0.0,Italia,1,Nord-Est,2,Veneto,3,Verona,Oppeano,,CDC-CO2,,,22.0,Italy,2010-05-17,2010-04-29,45.3132687192029,11.1188974291903,0.202138913991574,-0.0585054398104758,-0.326030899129596,0.0585054398104758,0.410308486471401,0.119555922285402,-0.272093276156544,-0.119555922285402,0.1329375897938,0.144574316424199,0.0601222306157787,0.144574316424199,2010-05-02,45.3132687192029,11.1188974291903,15094.0,14386.0,45.3132687192029,11.1188974291903,13859.25,13524.0,14015.6363636364,13608.1111111111,14367.4166666667,13766.2352941176,14920.25,14084.9411764706,2010-05-02,45.3502074436819,11.1500510032426,571.211974641068,2010-04-25,2010-04-18,2010-04-25,2010-04-18,17.5588064142503,42.6725793294609,,,,,
184,11.585081,45.519406,2010-05-02,20.0,5,2010,IT,0.0,Italia,1,Nord-Est,2,Veneto,3,Vicenza,Vicenza,,CDC-CO2,,,162.0,Italy,2010-05-17,2010-04-29,45.5198812345504,11.5860213769325,0.34823499705045,0.0598323445643221,-0.309285634754929,-0.0598323445643221,0.376449192204557,0.145278891906301,-0.221773643893947,-0.145278891906301,0.0991432182123527,0.105920370877703,0.0708164476291949,0.105920370877703,2010-05-02,45.5198812345504,11.5860213769325,15168.0,14277.0,45.5198812345504,11.5860213769325,13919.7142857143,13505.25,13986.0,13666.2857142857,14295.0,13770.2,14849.5,14117.0,2010-05-02,45.5502083585383,11.5500528329554,583.682019896107,2010-04-25,2010-04-18,2010-04-25,2010-04-18,5.86825814843178,38.6161206718534,,,,,
9,12.049586,44.986146,2010-05-09,21.0,5,2010,IT,0.0,Italia,1,Nord-Est,2,Veneto,3,Rovigo,Papozze,,CDC-CO2,,,78.0,Italy,2010-05-24,2010-04-29,44.9853836404993,12.0486537482541,0.451346675673965,0.188902375685137,-0.251804499021505,-0.188902375685137,0.400152816654378,0.139185758709169,-0.250641346627624,-0.139185758709169,0.142159146186371,0.143014776221243,0.0346680350528804,0.143014776221243,2010-05-09,44.9853836404993,12.0486537482541,15086.0,14245.0,44.9853836404993,12.0486537482541,13831.0,13584.2,13970.7777777778,13643.6666666667,14394.0,13806.2727272727,14726.7368421053,14075.5555555556,2010-05-09,44.9502056139692,12.0500551200963,835.214700713303,2010-05-02,2010-04-25,2010-05-02,2010-04-25,112.430191204302,126.776409948245,,,,,
