"station_id","y","x","dt_placement","culex.spp","region","dt_placement_original","year","month","indices_image_date","indices_lat","indices_lon","ndvi","ndmi","ndwi","ndbi","ndvi_mean","ndmi_mean","ndwi_mean","ndbi_mean","ndvi_std","ndmi_std","ndwi_std","ndbi_std","lst_image_date","lst_lat","lst_lon","lst_day","lst_night","monthly_lst_lat","monthly_lst_lon","lst_jan_day_mean","lst_jan_night_mean","lst_feb_day_mean","lst_feb_night_mean","lst_mar_day_mean","lst_mar_night_mean","lst_apr_day_mean","lst_apr_night_mean","indices_image_date","indices_lat","indices_lon","acc_rainfall_jan","dt_placement_minus_7","dt_placement_minus_14","dt_placement_minus_7_avail","dt_placement_minus_14_avail","acc_rainfall_1week","acc_rainfall_2week"
"Starcevo",44.81098,20.69478,2023-04-30,6,"Serbia",2023-05-15,2023,4,2023-04-29,44.8102121600959,20.6949383579053,0.47565543071161,0.108298171589311,-0.434590377113134,-0.108298171589311,0.442748759253326,0.0783976704610654,-0.414276591851828,-0.0783976704610654,0.0288918506582429,0.0284109497711762,0.0182227433883565,0.0284109497711762,2023-04-30,44.8102121600959,20.6949383579053,14640,14098,44.8102121600959,20.6949383579053,14163.8333333333,13707.1666666667,14011.3333333333,13522.9090909091,14472.3846153846,13803.3,14716.7,13988.4666666667,2023-04-30,44.850205156541,20.6500944589202,107.048649410055,2023-04-23,2023-04-16,2023-04-23,2023-04-16,8.5242508975789,9.45606616418809
"Starcevo",44.804737,20.691096,2023-04-30,39,"Serbia",2023-05-15,2023,4,2023-04-29,44.8057205836754,20.6904467814847,0.420826623725174,0.055001992825827,-0.397202428081288,-0.055001992825827,0.477538258853939,0.139882648924425,-0.438079958478962,-0.139882648924425,0.0878441259917027,0.118745153268002,0.0704254919170209,0.118745153268002,2023-04-30,44.8057205836754,20.6904467814847,14671,14098,44.8057205836754,20.6904467814847,14160.6666666667,13691.1666666667,14031.3846153846,13515.7272727273,14418.3846153846,13804,14715.5,13971.9333333333,2023-04-30,44.850205156541,20.6500944589202,107.048649410055,2023-04-23,2023-04-16,2023-04-23,2023-04-16,8.5242508975789,9.45606616418809
"Pancevo",44.867029,20.653822,2023-04-30,201,"Serbia",2023-05-15,2023,4,2023-04-29,44.8686026535637,20.6545141701199,0.356215748485722,0.0414174972314507,-0.332011331444759,-0.0414174972314507,0.353347517002056,0.039562903212609,-0.329608568253165,-0.039562903212609,0.0834652722569523,0.0567859280943801,0.0538915501635072,0.0567859280943801,2023-04-30,44.8686026535637,20.6545141701199,14871,14178,44.8686026535637,20.6545141701199,14161.8333333333,13724.6666666667,14007.0666666667,13606.4,14432.6153846154,13863.75,14724.6363636364,14081.6153846154,2023-04-30,44.850205156541,20.6500944589202,107.048649410055,2023-04-23,2023-04-16,2023-04-23,2023-04-16,8.5242508975789,9.45606616418809
"Jabuka",44.947624,20.585016,2023-04-30,104,"Serbia",2023-05-15,2023,4,2023-04-29,44.9494510291345,20.5871405238109,0.409078094164082,0.0408163265306123,-0.384871155444722,-0.0408163265306123,0.431655352278301,0.107574425383837,-0.36840688747537,-0.107574425383837,0.0470160408338308,0.0723673451055142,0.0545398647244271,0.0723673451055142,2023-04-30,44.9494510291345,20.5871405238109,14779,13893,44.9494510291345,20.5871405238109,14144.8,13736.4,13980.0769230769,13537.5555555556,14398,13863.9,14664.0909090909,14034.7777777778,2023-04-30,44.9502056139692,20.550094001492,95.1549301771083,2023-04-23,2023-04-16,2023-04-23,2023-04-16,6.55580589082092,7.42872357275337
"Jabuka",44.946417,20.606634,2023-04-30,32,"Serbia",2023-05-15,2023,4,2023-04-29,44.9449594527139,20.6051068294933,0.380807311500381,0.151842439644219,-0.282178217821782,-0.151842439644219,0.410842777853525,0.129696431087641,-0.318651719921233,-0.129696431087641,0.0385809110898236,0.0541106397250123,0.06324899708381,0.0541106397250123,2023-04-30,44.9449594527139,20.6051068294933,14622,13946,44.9449594527139,20.6051068294933,14124.5,13744.2,13966.0769230769,13549,14403.3846153846,13864.4,14673.4444444444,14045.7272727273,2023-04-30,44.9502056139692,20.6500944589202,98.1507563607192,2023-04-23,2023-04-16,2023-04-23,2023-04-16,5.54884984530509,6.48462784476578
"Glogonj",44.991909,20.514506,2023-04-30,0,"Serbia",2023-05-15,2023,4,2023-04-29,44.9898752169199,20.5152753010814,0.423113658070678,0.0627674750356634,-0.367390639339247,-0.0627674750356634,0.388643559743375,0.0692607916504379,-0.32869626946463,-0.0692607916504379,0.0429378876085785,0.0791625992777637,0.0331502247268398,0.0791625992777637,2023-04-30,44.9898752169199,20.5152753010814,14644,14013,44.9898752169199,20.5152753010814,14084.2857142857,13742,13966.3333333333,13572,14396.25,13855.5,14644.7777777778,14070.7,2023-04-30,44.9502056139692,20.550094001492,95.1549301771083,2023-04-23,2023-04-16,2023-04-23,2023-04-16,6.55580589082092,7.42872357275337
"Sefkerin",45.00674,20.47046,2023-04-30,4,"Serbia",2023-05-15,2023,4,2023-04-29,45.0078415226023,20.4703595368754,0.383968778144701,0.0329374859959668,-0.346378504672897,-0.0329374859959668,0.433483227656198,0.116887512937703,-0.364024099545602,-0.116887512937703,0.0827779645558403,0.0599200450188861,0.0919347465218342,0.0599200450188861,2023-04-30,45.0078415226023,20.4703595368754,14738,14082,45.0078415226023,20.4703595368754,14072.25,13728.6666666667,13983.7142857143,13537.6,14451,13842,14676.3,14019.4166666667,2023-04-30,45.0502060713973,20.4500935440638,81.4800555065813,2023-04-23,2023-04-16,2023-04-23,2023-04-16,2.49428706406616,3.2749416732695
"Sefkerin",45.000675,20.494024,2023-04-30,15,"Serbia",2023-05-15,2023,4,2023-04-29,44.998858369761,20.4928174189784,0.583892617449664,0.243195785776997,-0.443425076452599,-0.243195785776997,0.501408108983062,0.15829628248344,-0.413620648905955,-0.15829628248344,0.0784402988388491,0.0913868810024555,0.0327760208744637,0.0913868810024555,2023-04-30,44.9988583697611,20.4928174189784,14734,14249,44.9988583697611,20.4928174189784,14088.625,13712,13957.0769230769,13553.2222222222,14494.6,13843,14702.7777777778,14099.4,2023-04-30,45.0502060713973,20.4500935440638,81.4800555065813,2023-04-23,2023-04-16,2023-04-23,2023-04-16,2.49428706406616,3.2749416732695
"Opovo",45.053365,20.41783,2023-04-30,8,"Serbia",2023-05-15,2023,4,2023-04-29,45.0527572868082,20.4164606198282,0.37663164597262,0.0681818181818181,-0.32719459791283,-0.0681818181818181,0.483974419440806,0.146070985007556,-0.399074116816493,-0.146070985007556,0.0607523052708635,0.0725373429486169,0.0508939015051693,0.0725373429486169,2023-04-30,45.0527572868082,20.4164606198282,14663,14012,45.0527572868082,20.4164606198282,14112.8,13721.6666666667,13944.7142857143,13546.8333333333,14403.0769230769,13828.2222222222,14658.75,13992.6923076923,2023-04-30,45.0502060713973,20.4500935440638,81.4800555065813,2023-04-23,2023-04-16,2023-04-23,2023-04-16,2.49428706406616,3.2749416732695
"Opovo",45.045172,20.430594,2023-04-30,0,"Serbia",2023-05-15,2023,4,2023-04-29,45.043774133967,20.42993534909,0.465364120781528,0.107878245299911,-0.412268188302425,-0.107878245299911,0.425600791855258,0.0681225419373225,-0.382741130250646,-0.0681225419373225,0.0457053871905534,0.035277055753429,0.0333720978115724,0.035277055753429,2023-04-30,45.043774133967,20.42993534909,14704,14057,45.043774133967,20.42993534909,14116.6,13756,13931.9285714286,13540.6666666667,14409.5384615385,13803.6666666667,14681.9090909091,14006.9166666667,2023-04-30,45.0502060713973,20.4500935440638,81.4800555065813,2023-04-23,2023-04-16,2023-04-23,2023-04-16,2.49428706406616,3.2749416732695
