station_id,dt_placement,week,month,year,country_code,nuts0_code,nuts0_name,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,lau1_municipality,lau2_settlement,trap_type,culex pipiens,sex,x,y,culex.spp,region,dt_placement_original,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week
288,2024-08-19,36,8,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,BG-Sentinel,1,F,10.844454,45.890818,1,Italy,2024-09-03,2024-08-18,45.89268207746006,10.84491126753387,0.2541678853465926,-0.012664057103384769,-0.2552693208430913,0.012664057103384769,0.2797122826435135,-0.01330304763343253,-0.2779798989728337,0.01330304763343253,0.04890169514398482,0.030367749629850237,0.038099193371675465,0.030367749629850237,2024-08-19,45.89268207746006,10.84491126753387,14921.0,14806.0,45.89268207746006,10.84491126753387,13931.529411764706,13586.333333333336,14177.4,13736.8,14344.444444444443,13958.166666666664,14576.916666666664,14084.533333333333,2024-08-19,45.850209730822826,10.850049630958074,1244.23996947892,2024-08-12,2024-08-05,2024-08-12,2024-08-05,45.61999887600541,66.20999846234918
315,2024-08-19,36,8,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Arco,,BG-Sentinel,1,F,10.864102,45.919723,1,Italy,2024-09-03,2024-08-18,45.91963153598365,10.862877573216265,0.4580570769674258,0.08704061895551259,-0.4144295302013423,-0.08704061895551259,0.5201455652136124,0.14209168857215093,-0.4618547538630928,-0.14209168857215093,0.0990405503746892,0.07700707578100471,0.07413777981464639,0.07700707578100471,2024-08-19,45.91963153598365,10.86287757321626,14884.0,14783.0,45.91963153598365,10.86287757321626,13989.733333333335,13639.25,14228.909090909092,13863.75,14445.2,13895.583333333336,14698.5,14084.4,2024-08-19,45.950210188251006,10.850049630958074,1270.9599711298943,2024-08-12,2024-08-05,2024-08-12,2024-08-05,45.69999921694398,82.82999858632684
351,2024-08-19,36,8,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,BG-Sentinel,1,M,10.855636,45.894986,1,Italy,2024-09-03,2024-08-18,45.89717365388066,10.853894420375068,0.2356612184249628,-0.023485204321277608,-0.24453756360371146,0.023485204321277608,0.4186683624236077,0.08180020303361996,-0.3758243571407136,-0.08180020303361996,0.14619795157362195,0.09034941350150663,0.10538040424215196,0.09034941350150663,2024-08-19,45.89717365388066,10.853894420375068,15137.0,14798.0,45.89717365388066,10.853894420375068,13923.263157894737,13552.619047619048,14182.6,13691.4,14418.3,13918.692307692307,14629.583333333336,14055.857142857143,2024-08-19,45.850209730822826,10.850049630958074,1244.23996947892,2024-08-12,2024-08-05,2024-08-12,2024-08-05,45.61999887600541,66.20999846234918
CDCRA5,2024-08-19,36,8,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Arco,,CDC-trap,5,F,10.892337,45.915607,5,Italy,2024-09-03,2024-08-18,45.915139959563035,10.894318608160448,0.4862604540023894,0.1247739602169982,-0.4233409610983982,-0.1247739602169982,0.5534830045806045,0.159293547700432,-0.4700963098090971,-0.159293547700432,0.10191964197904683,0.07011646470182566,0.0668121808761435,0.07011646470182566,2024-08-19,45.915139959563035,10.894318608160448,14910.0,14741.0,45.91513995956304,10.894318608160448,13909.764705882351,13551.3,14179.727272727272,13802.2,14458.555555555557,13899.153846153846,14758.666666666664,14130.25,2024-08-19,45.950210188251006,10.850049630958074,1270.9599711298943,2024-08-12,2024-08-05,2024-08-12,2024-08-05,45.69999921694398,82.82999858632684
CDCRA6,2024-08-19,36,8,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Riva del Garda,,CDC-trap,0,,10.862481,45.882249,0,Italy,2024-09-03,2024-08-18,45.88369892461886,10.862877573216265,0.5029515938606848,0.15412511332728915,-0.4470019892014777,-0.15412511332728915,0.5294032379487947,0.19591255637845573,-0.4530632311667568,-0.19591255637845573,0.0914701324714444,0.07817536777442904,0.06709615375847508,0.07817536777442904,2024-08-19,45.88369892461886,10.86287757321626,15102.0,14744.0,45.88369892461886,10.86287757321626,13901.45,13634.714285714286,14122.0,13838.0,14339.363636363636,13876.642857142857,14575.833333333336,14095.666666666664,2024-08-19,45.850209730822826,10.850049630958074,1244.23996947892,2024-08-12,2024-08-05,2024-08-12,2024-08-05,45.61999887600541,66.20999846234918
PO-BG-3,2024-08-19,36,8,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Trento,,BG-Sentinel,1,M,11.160635,46.083488,1,Italy,2024-09-03,2024-08-18,46.08132828712517,11.15932161697573,0.5395901846698711,0.2125921498306436,-0.4700483091787439,-0.2125921498306436,0.5538768616381815,0.21395846014263029,-0.4764827817129704,-0.21395846014263029,0.05225934263363366,0.04864481917636189,0.0325263109137134,0.04864481917636189,2024-08-19,46.08132828712517,11.15932161697573,14955.0,14719.0,46.08132828712517,11.15932161697573,13819.166666666664,13576.333333333336,14187.363636363636,13787.0,14404.818181818182,13898.5,14611.6,14062.692307692307,2024-08-19,46.05021064567919,11.150051003242629,1379.7499662805349,2024-08-12,2024-08-05,2024-08-12,2024-08-05,85.90999796800315,127.32999707572162
PO-BG-3,2024-08-19,36,8,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Trento,,BG-Sentinel,1,F,11.160635,46.083488,1,Italy,2024-09-03,2024-08-18,46.08132828712517,11.15932161697573,0.5395901846698711,0.2125921498306436,-0.4700483091787439,-0.2125921498306436,0.5538768616381815,0.21395846014263029,-0.4764827817129704,-0.21395846014263029,0.05225934263363366,0.04864481917636189,0.0325263109137134,0.04864481917636189,2024-08-19,46.08132828712517,11.15932161697573,14955.0,14719.0,46.08132828712517,11.15932161697573,13819.166666666664,13576.333333333336,14187.363636363636,13787.0,14404.818181818182,13898.5,14611.6,14062.692307692307,2024-08-19,46.05021064567919,11.150051003242629,1379.7499662805349,2024-08-12,2024-08-05,2024-08-12,2024-08-05,85.90999796800315,127.32999707572162
RA-CDC-1,2024-08-19,36,8,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Arco,,CDC-trap,7,F,10.891121,45.905765,7,Italy,2024-09-03,2024-08-18,45.906156806721846,10.88982703173985,0.5335044197319647,0.14352540931320434,-0.4618102745311226,-0.14352540931320434,0.6200235683332692,0.21827130359443506,-0.5164833854102497,-0.21827130359443506,0.047130163761266684,0.03948102912545392,0.03091519098860084,0.03948102912545392,2024-08-19,45.906156806721846,10.88982703173985,14892.0,14719.0,45.906156806721846,10.88982703173985,13874.052631578948,13503.954545454546,14166.454545454546,13781.8,14430.3,13891.076923076924,14734.8,14109.583333333336,2024-08-19,45.950210188251006,10.850049630958074,1270.9599711298943,2024-08-12,2024-08-05,2024-08-12,2024-08-05,45.69999921694398,82.82999858632684
TN-BG-6,2024-08-19,36,8,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Trento,,BG-Sentinel,29,F,11.125669,46.058128,29,Italy,2024-09-03,2024-08-18,46.05887040502219,11.127880582031544,0.2305516265912305,-0.02082160945413616,-0.2327311370882041,0.02082160945413616,0.2387731829159712,-0.021526418841025914,-0.2428139372614917,0.021526418841025914,0.052179511309668115,0.052691159278867805,0.03553098549010299,0.052691159278867805,2024-08-19,46.05887040502218,11.127880582031544,15087.0,14818.0,46.05887040502218,11.127880582031544,13848.0,13644.470588235294,14147.6,13827.4,14430.3,13972.636363636364,14663.777777777776,14125.363636363636,2024-08-19,46.05021064567919,11.150051003242629,1379.7499662805349,2024-08-12,2024-08-05,2024-08-12,2024-08-05,85.90999796800315,127.32999707572162
TN-BG-6,2024-08-19,36,8,2024,,,Italy,,,,Trentino-Alto Adige,,Trentino,Trento,,BG-Sentinel,1,M,11.125669,46.058128,1,Italy,2024-09-03,2024-08-18,46.05887040502219,11.127880582031544,0.2305516265912305,-0.02082160945413616,-0.2327311370882041,0.02082160945413616,0.2387731829159712,-0.021526418841025914,-0.2428139372614917,0.021526418841025914,0.052179511309668115,0.052691159278867805,0.03553098549010299,0.052691159278867805,2024-08-19,46.05887040502218,11.127880582031544,15087.0,14818.0,46.05887040502218,11.127880582031544,13848.0,13644.470588235294,14147.6,13827.4,14430.3,13972.636363636364,14663.777777777776,14125.363636363636,2024-08-19,46.05021064567919,11.150051003242629,1379.7499662805349,2024-08-12,2024-08-05,2024-08-12,2024-08-05,85.90999796800315,127.32999707572162
