"station_id","x","y","region","dt_placement","dt_placement_original","country_code","nuts0_code","nuts0_name","nuts1_code","nuts1_name","nuts2_code","nuts2_name","nuts3_code","nuts3_name","lau1_municipality","lau2_settlement","trap_type","no_pos_pools","culex spp.","year","month","indices_image_date","indices_lat","indices_lon","ndvi_new","ndmi_new","ndwi_new","ndbi_new","ndvi_mean_new","ndmi_mean_new","ndwi_mean_new","ndbi_mean_new","ndvi_std_new","ndmi_std_new","ndwi_std_new","ndbi_std_new","lst_image_date","lst_lat","lst_lon","lst_day_new","lst_night_new","monthly_lst_lat","monthly_lst_lon","lst_jan_day_mean_new","lst_jan_night_mean_new","lst_feb_day_mean_new","lst_feb_night_mean_new","lst_mar_day_mean_new","lst_mar_night_mean_new","lst_apr_day_mean_new","lst_apr_night_mean_new","indices_image_date","indices_lat","indices_lon","acc_rainfall_jan_new","dt_placement_minus_7","dt_placement_minus_14","dt_placement_minus_7_avail","dt_placement_minus_14_avail","acc_rainfall_1week_new","acc_rainfall_2week_new"
"APGTR01",25.331566,35.332512,"Greece",2023-03-05,2023-03-20,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL431","HERAKLION","CHERSONISOS","AGIA PELAGIA","Ecodev",,,2023,3,2023-03-04,35.3329859126342,25.3302452239624,0.474631751227496,0.198669623059867,-0.425257052465067,-0.198669623059867,0.225906926556986,0.257444670242993,-0.0944507224864432,-0.257444670242993,0.313925604106688,0.109692997148362,0.442991240356223,0.109692997148362,2023-03-05,35.3329859126342,25.3302452239624,14503,14187,35.3329859126342,25.3302452239624,14389.6923076923,14154.2105263158,14348,14091,14621.8666666667,14169.7857142857,14817.1333333333,14245.9285714286,2023-03-05,35.3501617008634,25.3501159580449,47.1644398984354,2023-02-26,2023-02-19,2023-02-26,2023-02-19,7.47395639587194,7.47395639587194
"MOITR02",24.873223,35.048491,"Greece",2023-03-05,2023-03-20,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL431","HERAKLION","FAISTOS","MOIRES","Triple Trap",,,2023,3,2023-03-04,35.0500165981365,24.8721044290614,0.184958460865763,0.0284629981024668,-0.220445845530286,-0.0284629981024668,0.410138793710606,0.165837484904327,-0.38742211978707,-0.165837484904327,0.119536049132623,0.0812300833378438,0.0850333801618747,0.0812300833378438,2023-03-05,35.0500165981365,24.8721044290614,14705,14169,35.0500165981365,24.8721044290614,14432.5454545455,14067.1052631579,14386.1,13933.2631578947,14718.0833333333,14110.2941176471,14989.2666666667,14230.4,2023-03-05,35.0501603285788,24.850113670904,16.6087573410477,2023-02-26,2023-02-19,2023-02-26,2023-02-19,3.97966575087048,3.97966575087048
"XERTR02",25.109379,35.335973,"Greece",2023-03-05,2023-03-20,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL431","HERAKLION","HERAKLION","XEROPOTAMOS","Ecodev",,1,2023,3,2023-03-04,35.3374774890548,25.1101579793531,0.091069330199765,0.0103373231773667,-0.084696261682243,-0.0103373231773667,0.0325172576595788,0.0961805381883522,0.0301573591999607,-0.0961805381883522,0.125873684539537,0.128964717114986,0.257461981236569,0.128964717114986,2023-03-05,35.3374774890548,25.1101579793531,14404,14231,35.3374774890548,25.1101579793531,14358.5714285714,14200.2352941177,14385.2727272727,14060.2307692308,14569.6875,14236.7142857143,14747.25,14334.2,2023-03-05,35.3501617008634,25.1501150431885,33.3267357700643,2023-02-26,2023-02-19,2023-02-26,2023-02-19,7.58043207786977,7.58043207786977
"IRATR05",25.154469,35.304555,"Greece",2023-03-05,2023-03-20,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL431","HERAKLION","HERAKLION","IRAKLEIO","Ecodev",,,2023,3,2023-03-04,35.3060364541106,25.1550737435591,0.146537842190016,0.178157749586321,-0.0548148148148148,-0.178157749586321,0.35577187991254,0.202316607400144,-0.301307405319844,-0.202316607400144,0.149156156104527,0.091548664558453,0.133245045252675,0.091548664558453,2023-03-05,35.3060364541106,25.1550737435591,14448,14175,35.3060364541106,25.1550737435591,14410.6666666667,14101.0588235294,14408,14030.625,14713.1666666667,14157.8181818182,14886.6923076923,14211.1538461538,2023-03-05,35.3501617008634,25.1501150431885,33.3267357700643,2023-02-26,2023-02-19,2023-02-26,2023-02-19,7.58043207786977,7.58043207786977
"SKATR01",25.056139,35.336701,"Greece",2023-03-05,2023-03-20,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL431","HERAKLION","MALEVIZI","SKAFIDARAS","Ecodev",,,2023,3,2023-03-04,35.3374774890548,25.0562590623059,0.456509994597515,0.208697601434656,-0.398702983138781,-0.208697601434656,0.177926607538889,0.23732092551369,-0.0213924358454822,-0.23732092551369,0.312891457570362,0.102263152728485,0.417318240953926,0.102263152728485,2023-03-05,35.3374774890548,25.0562590623059,14385,14180,35.3374774890548,25.0562590623059,14364.0833333333,14118.1764705882,14385.9090909091,14033.9285714286,14564.9333333333,14179.5,14735.6875,14238.0625,2023-03-05,35.3501617008634,25.0501145857603,31.8977650307352,2023-02-26,2023-02-19,2023-02-26,2023-02-19,5.32954644202255,5.32954644202255
"SKATR02",25.065026,35.334606,"Greece",2023-03-05,2023-03-20,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL431","HERAKLION","MALEVIZI","SKAFIDARAS","Ecodev",,,2023,3,2023-03-04,35.3329859126342,25.0652422151471,0.483337061060166,0.246148064637354,-0.432706848131346,-0.246148064637354,0.457997762907695,0.224562856906313,-0.410989404651446,-0.224562856906313,0.0973619220631422,0.0644536877931785,0.0720053514889007,0.0644536877931785,2023-03-05,35.3329859126342,25.0652422151471,14409,14135,35.3329859126342,25.0652422151471,14359.8461538462,14020.7058823529,14397.1666666667,14004.0666666667,14619.4,14146.1428571429,14809.7692307692,14220.4666666667,2023-03-05,35.3501617008634,25.0501145857603,31.8977650307352,2023-02-26,2023-02-19,2023-02-26,2023-02-19,5.32954644202255,5.32954644202255
"ANNTR04",25.713312,35.185806,"Greece",2023-03-05,2023-03-20,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL432","LASITHI","AGIOS NIKOLAOS","AGIOS NIKOLAOS","Ecodev",,,2023,3,2023-03-04,35.1847638907544,25.7120292197132,0.253979567593253,0.132618025751073,-0.242759595008241,-0.132618025751073,0.177312625571608,0.12684781164303,-0.147547205258512,-0.12684781164303,0.0989404405801135,0.034269587726933,0.132653189209331,0.034269587726933,2023-03-05,35.1847638907544,25.7120292197132,14700,14020,35.1847638907544,25.7120292197132,14421.6428571429,14173.0526315789,14351.2857142857,14124.3076923077,14677.7692307692,14183.6666666667,14870.3529411765,14274.0625,2023-03-05,35.150160786007,25.7501177877576,41.691156784237,2023-02-26,2023-02-19,2023-02-26,2023-02-19,3.82010431960225,4.57910090056248
"ADRTR01",25.706695,35.174189,"Greece",2023-03-05,2023-03-20,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL432","LASITHI","AGIOS NIKOLAOS","AMMOYDARA","Ecodev",,,2023,3,2023-03-04,35.1757807379132,25.7075376432926,0.242672919109027,0.101642070255664,-0.220354593598895,-0.101642070255664,0.291936423251067,0.100476476586236,-0.265124999737213,-0.100476476586236,0.0695320204403079,0.0255781272247372,0.0807117278672424,0.0255781272247372,2023-03-05,35.1757807379132,25.7075376432926,14703,14020,35.1757807379132,25.7075376432926,14398,14192.65,14319.4117647059,14111.1538461538,14669.2307692308,14182.4666666667,14878.1333333333,14267.5882352941,2023-03-05,35.150160786007,25.7501177877576,41.691156784237,2023-02-26,2023-02-19,2023-02-26,2023-02-19,3.82010431960225,4.57910090056248
"LIMTR01",25.638913,35.245601,"Greece",2023-03-05,2023-03-20,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL432","LASITHI","AGIOS NIKOLAOS","LIMNES","Triple Trap",,,2023,3,2023-03-04,35.2476459606428,25.6401639969837,0.256857855361596,0.172482552342971,-0.199184228416044,-0.172482552342971,0.30348106890858,0.200380432123275,-0.231680219758279,-0.200380432123275,0.0484926490952281,0.0222030529511677,0.0355446536652257,0.0222030529511677,2023-03-05,35.2476459606428,25.6401639969837,14558,14165,35.2476459606428,25.6401639969837,14362.375,14038.7222222222,14265.2857142857,14017.3571428571,14654,14141.5,14724.8666666667,14199.3846153846,2023-03-05,35.2501612434352,25.6501173303295,66.5443559833584,2023-02-26,2023-02-19,2023-02-26,2023-02-19,4.39971822686493,4.39971822686493
"IERTR02",25.726225,35.010131,"Greece",2023-03-05,2023-03-20,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL432","LASITHI","IERAPETRA","IERAPETRA","Triple Trap",,,2023,3,2023-03-04,35.0095924103511,25.725503948975,0.239724505665408,0.117788461538462,-0.239449133718347,-0.117788461538462,0.125719319810542,0.237369356525799,-0.034365138165395,-0.237369356525799,0.226361530880905,0.130818243899996,0.334422354484468,0.130818243899996,2023-03-05,35.0095924103511,25.725503948975,14683,14115,35.0095924103511,25.725503948975,14506.4666666667,14162.4705882353,14482,14052.2352941176,14637.2727272727,14155.8125,14859.8181818182,14247.1666666667,2023-03-05,35.0501603285788,25.7501177877576,17.919223355981,2023-02-26,2023-02-19,2023-02-26,2023-02-19,1.04337898921222,1.04337898921222
