"id","station_id","trapid_region","trapid","code","oldid","x","y","dt_placement","week","month","year","country_code","nuts0_code","nuts0_name","nuts1_code","nuts1_name","nuts2_code","nuts2_name","nuts3_code","nuts3_name","lau1_municipality","lau2_settlement","traptype","lab","no_pos_pools","culex spp.","region","dt_placement_original","indices_image_date","indices_lat","indices_lon","ndvi","ndmi","ndwi","ndbi","ndvi_mean","ndmi_mean","ndwi_mean","ndbi_mean","ndvi_std","ndmi_std","ndwi_std","ndbi_std","lst_image_date","lst_lat","lst_lon","lst_day","lst_night","monthly_lst_lat","monthly_lst_lon","lst_jan_day_mean","lst_jan_night_mean","lst_feb_day_mean","lst_feb_night_mean","lst_mar_day_mean","lst_mar_night_mean","lst_apr_day_mean","lst_apr_night_mean","indices_image_date","indices_lat","indices_lon","acc_rainfall_jan","dt_placement_minus_7","dt_placement_minus_14","dt_placement_minus_7_avail","dt_placement_minus_14_avail","acc_rainfall_1week","acc_rainfall_2week"
464,"XERTR02","XERTR02_CR","XERTR02_EL43","XERTR02_EL4345005","GIOTR0200",25.109379,35.335973,2023-03-05,12,3,2023,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL431","HERAKLION","HERAKLION","XEROPOTAMOS","Ecodev",,,1,"Greece",2023-03-20,2023-03-04,35.3374774890548,25.1101579793531,0.091069330199765,0.0103373231773667,-0.084696261682243,-0.0103373231773667,0.0325172576595788,0.0961805381883522,0.0301573591999607,-0.0961805381883522,0.125873684539537,0.128964717114986,0.257461981236569,0.128964717114986,2023-03-05,35.3374774890548,25.1101579793531,14404,14231,35.3374774890548,25.1101579793531,14358.5714285714,14200.2352941177,14385.2727272727,14060.2307692308,14569.6875,14236.7142857143,14747.25,14334.2,2023-03-05,35.3501617008634,25.1501150431885,33.3267357700643,2023-02-26,2023-02-19,2023-02-26,2023-02-19,7.58043207786977,7.58043207786977
458,"VICTR01","VICTR01_CR","VICTR01_EL43","VICTR01_EL4345005","BIOTR0100",24.442917,35.362667,2023-03-05,12,3,2023,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL433","RETHYMNO","RETHYMNO","VIOLI CHARAKI","Ecodev",,,4,"Greece",2023-03-20,2023-03-04,35.3644269475784,24.440913092684,0.334138680840783,0.154988496130517,-0.323585810162991,-0.154988496130517,0.277653853600802,0.118235202189489,-0.238039900352264,-0.118235202189489,0.12719086205242,0.0509122070244964,0.154371699027768,0.0509122070244964,2023-03-05,35.3644269475783,24.440913092684,14331,14254,35.3644269475783,24.440913092684,14331.5384615385,14151.1666666667,14398.8461538462,14113.75,14536,14215.4,14601.7692307692,14238.8666666667,2023-03-05,35.3501617008634,24.4501118411912,51.4665419532603,2023-02-26,2023-02-19,2023-02-26,2023-02-19,2.47850305249449,2.47850305249449
503,"PLSTR01","PLSTR01_CR","PLSTR01_EL43","PLSTR01_EL4345005","PTNTR0100",24.528194,35.367056,2023-03-05,12,3,2023,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL433","RETHYMNO","RETHYMNO","PLATANIAS","Ecodev",,,1,"Greece",2023-03-20,2023-03-04,35.3689185239989,24.5262530446754,0.362461827578107,0.17242773398019,-0.343836886005561,-0.17242773398019,0.175214875740689,0.23684608253937,-0.0521097369071184,-0.23684608253937,0.280049237137223,0.10593891907144,0.427235450039732,0.10593891907144,2023-03-05,35.3689185239989,24.5262530446754,14562,14260,35.3689185239989,24.5262530446754,14408.3636363636,14198.6,14394.5,14143.8181818182,14576.0714285714,14248,14747.875,14291.6666666667,2023-03-05,35.3501617008634,24.5501122986194,123.08203220729,2023-02-26,2023-02-19,2023-02-26,2023-02-19,4.48184302808659,4.48184302808659
505,"RETTR02","RETTR02_CR","RETTR02_EL43","RETTR02_EL4345005","RETTR0200",24.473,35.364806,2023-03-05,12,3,2023,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL433","RETHYMNO","RETHYMNO","RETHYMNO","Sentinel2",,,4,"Greece",2023-03-20,2023-03-04,35.3644269475784,24.4723541276282,0.177128116938951,0.0587780355761794,-0.209363957597173,-0.0587780355761794,0.160687344447003,0.0717693668348834,-0.147783003448504,-0.0717693668348834,0.12788018907405,0.051023932417347,0.193973228290769,0.051023932417347,2023-03-05,35.3644269475783,24.4723541276282,14300,14210,35.3644269475783,24.4723541276282,14334.9333333333,14182.1666666667,14370.4615384615,14107.6428571429,14548,14223.7857142857,14700,14247.8666666667,2023-03-05,35.3501617008634,24.4501118411912,51.4665419532603,2023-02-26,2023-02-19,2023-02-26,2023-02-19,2.47850305249449,2.47850305249449
462,"GRGTR03","GRGTR03_CR","GRGTR03_EL43","GRGTR03_EL4345005","GEOTR0300",24.257694,35.361639,2023-03-05,12,3,2023,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL434","CHANIA","APOKORONOS","GEORGIOYPOLI","Ecodev",,,2,"Greece",2023-03-20,2023-03-04,35.3599353711578,24.2567584594395,0.526962457337884,0.233526330300524,-0.435815147625161,-0.233526330300524,0.464040197959086,0.214631002791922,-0.383678317208883,-0.214631002791922,0.175943066720857,0.0872683413383518,0.152492156392571,0.0872683413383518,2023-03-05,35.3599353711577,24.2567584594395,14524,14129,35.3599353711577,24.2567584594395,14358.2,14119.2857142857,14404.1538461538,14046.5384615385,14600.7692307692,14127.3529411765,14687.6666666667,14219.3333333333,2023-03-05,35.3501617008634,24.2501109263349,50.8258778644869,2023-02-26,2023-02-19,2023-02-26,2023-02-19,4.70137886423618,13.5563390264288
517,"SYDTR01","SYDTR01_CR","SYDTR01_EL43","SYDTR01_EL4345005","SUDTR0100",24.061167,35.491639,2023-03-05,12,3,2023,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL434","CHANIA","CHANIA","SOYDA","Ecodev",,,8,"Greece",2023-03-20,2023-03-04,35.4901910873551,24.0591290969332,0.34878587196468,0.0942466980076114,-0.329706202393906,-0.0942466980076114,0.301709671509592,0.213756414887869,-0.231293479547506,-0.213756414887869,0.219175147186174,0.130015493386838,0.270649226249351,0.130015493386838,2023-03-05,35.4901910873551,24.0591290969332,14496,14050,35.4901910873551,24.0591290969332,14416.9285714286,14104.25,14375.3571428571,14053.0833333333,14557.9444444444,14146.625,14779.7647058824,14230.1428571429,2023-03-05,35.4501621582916,24.0501100114785,24.9991739918962,2023-02-26,2023-02-19,2023-02-26,2023-02-19,2.54649839620106,2.55009737366345
491,"MMETR01","MMETR01_CR","MMETR01_EL43","MMETR01_EL4345005","MLMTR0100",23.846176,35.523199,2023-03-05,12,3,2023,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL434","CHANIA","PLATANIAS","MALEME","Ecodev",,,2,"Greece",2023-03-20,2023-03-04,35.5216321222993,23.8480250051651,0.475042063937184,0.21787450798796,-0.424702058504875,-0.21787450798796,0.354700773228181,0.268485141275031,-0.227123374720556,-0.268485141275031,0.304718004270916,0.100248160164034,0.38016247828772,0.100248160164034,2023-03-05,35.5216321222993,23.8480250051651,14460,13980,35.5216321222993,23.8480250051651,14399.75,14185.5333333333,14351.5,14124.0769230769,14566.4375,14190,14652.5714285714,14201.8181818182,2023-03-05,35.5501626157198,23.8501090966221,36.8205491344163,2023-02-26,2023-02-19,2023-02-26,2023-02-19,9.21791380556533,9.48358567157993
498,"PNATR01","PNATR01_CR","PNATR01_EL43","PNATR01_EL4345005","PLTTR0100",23.895417,35.517889,2023-03-05,12,3,2023,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL434","CHANIA","PLATANIAS","PLATANIAS","Ecodev",,,4,"Greece",2023-03-20,2023-03-04,35.5171405458787,23.8974323457917,0.284812229976736,0.144125480911512,-0.256827048114434,-0.144125480911512,0.177779193964401,0.299848647000559,-0.0424103091089043,-0.299848647000559,0.296510182822818,0.158715730039373,0.413098918109424,0.158715730039373,2023-03-05,35.5171405458787,23.8974323457917,,,35.5171405458787,23.8974323457917,,,,,,,,,2023-03-05,35.5501626157198,23.8501090966221,36.8205491344163,2023-02-26,2023-02-19,2023-02-26,2023-02-19,9.21791380556533,9.48358567157993
727,"PVLTR03","PRATR02_CR","PVLTR03_EL43","PVLTR03_EL4345005",0,24.514665,35.368135,2023-03-05,12,3,2023,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL433","RETHYMNO","RETHYMNO","PERIVOLIA","Ecodev",,,1,"Greece",2023-03-20,2023-03-04,35.3689185239989,24.5127783154136,0.311523234007085,0.121325494388028,-0.320327249842668,-0.121325494388028,0.0966812447157549,0.21313088735756,0.00552435808739758,-0.21313088735756,0.24755961253066,0.165274755685274,0.400960529819586,0.165274755685274,2023-03-05,35.3689185239989,24.5127783154136,,,35.3689185239989,24.5127783154136,,,,,,,,,2023-03-05,35.3501617008634,24.5501122986194,123.08203220729,2023-02-26,2023-02-19,2023-02-26,2023-02-19,4.48184302808659,4.48184302808659
464,"XERTR02","XERTR02_CR","XERTR02_EL43","XERTR02_EL4345019","GIOTR0200",25.109379,35.335973,2023-03-19,14,3,2023,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL431","HERAKLION","HERAKLION","XEROPOTAMOS","Ecodev",,,1,"Greece",2023-04-03,2023-03-19,35.3374774890548,25.1101579793531,0.091069330199765,0.0103373231773667,-0.084696261682243,-0.0103373231773667,0.0325172576595788,0.0961805381883522,0.0301573591999607,-0.0961805381883522,0.125873684539537,0.128964717114986,0.257461981236569,0.128964717114986,2023-03-19,35.3374774890548,25.1101579793531,14686,13782,35.3374774890548,25.1101579793531,14358.5714285714,14200.2352941177,14385.2727272727,14060.2307692308,14569.6875,14236.7142857143,14747.25,14334.2,2023-03-19,35.3501617008634,25.1501150431885,35.092354982884,2023-03-12,2023-03-05,2023-03-12,2023-03-05,0.351695291989017,1.76561921281973
459,"SKATR02","SKATR02_CR","SKATR02_EL43","SKATR02_EL4345019","GAZTR0100",25.065026,35.334606,2023-03-19,14,3,2023,"EL",0,"Greece","EL4","AEGEAN ISLANDS, CRETE","EL43","CRETE","EL431","HERAKLION","MALEVIZI","SKAFIDARAS","Ecodev",,,1,"Greece",2023-04-03,2023-03-19,35.3329859126342,25.0652422151471,0.483337061060166,0.246148064637354,-0.432706848131346,-0.246148064637354,0.457997762907695,0.224562856906313,-0.410989404651446,-0.224562856906313,0.0973619220631422,0.0644536877931785,0.0720053514889007,0.0644536877931785,2023-03-19,35.3329859126342,25.0652422151471,14535,14069,35.3329859126342,25.0652422151471,14359.8461538462,14020.7058823529,14397.1666666667,14004.0666666667,14619.4,14146.1428571429,14809.7692307692,14220.4666666667,2023-03-19,35.3501617008634,25.0501145857603,33.5507317539887,2023-03-12,2023-03-05,2023-03-12,2023-03-05,0.351727365690749,1.65296672325348
